,index,text,label,preprocessed_text
0,0,"Zimbabwe annual inflation drops to 209 percent: report (AFP) AFP - Zimbabwe's annual rate of inflation last month dropped to 209 percent, edging closer to a year-end target of 150 percent from a peak of 622.8 percent in January, according to a newspaper report.",0,zimbabwe annual inflation drop percent report afp zimbabwe annual rate inflation last month dropped percent edging closer year-end target percent peak percent january according newspaper report
1,1,"More than 1,000 dead in Haiti (09/23/04)-- A mass grave in Haiti now holds more than 100 bodies -- and there may have to be many more such graves before the recovery from Tropical Storm Jeanne is complete.",0,dead haiti mass grave haiti hold body may many graf recovery tropical storm jeanne complete
2,2,Seven die in Japan  #39;suicide pact #39; Japanese police have found the bodies of seven young people - three women and four men - in a van in the Saitama mountains to the west of Tokyo.,0,seven die japan suicide pact japanese police found body seven young people three woman four men van saitama mountain west tokyo
3,3,"Security No. 1 for Afghan head President Hamid Karzai promised Thursday to assemble a representative government, but said he did not feel bound to offer top Cabinet positions to his defeated rivals.",0,security afghan head president hamid karzai promised thursday assemble representative government said feel bound offer top cabinet position defeated rival
4,4,"Palestinians say they hope Bush accepts dealing with Arafat in new &lt;b&gt;...&lt;/b&gt; An ailing Yasser Arafat congratulated President Bush on his re-election and expressed hope that a second term will spark new life to the Middle East peace process, an aide to the Palestinian leader said Wednesday.",0,palestinian say hope bush accepts dealing arafat new ailing yasser arafat congratulated president bush re-election expressed hope second term spark new life middle east peace process aide palestinian leader said wednesday
5,5,France Seeks Return of Reporters in Iraq Amid Headscarf Threat The French government demanded the release of two journalists kidnapped in Iraq by a group demanding that France rescind a ban on Islamic headscarves in the nation #39;s schools within 48 hours.,0,france seek return reporter iraq amid headscarf threat french government demanded release two journalist kidnapped iraq group demanding france rescind ban islamic headscarf nation school within hour
6,6,"Ads Make Closing Arguments in Campaign (AP) AP - President Bush promises to do ""whatever it takes"" to keep the country safe. Democrat John Kerry says Bush has failed and calls for ""a fresh start.""",0,ad make closing argument campaign ap president bush promise whatever take keep country safe democrat john kerry say bush failed call fresh start
7,7,Mourning for submariner spans an ocean HALIFAX - Navy Lieut. Chris Saunders was honoured as a joyful father and a fearless sailor yesterday by mourners on both sides of the ocean following last week #39;s tragic fire on HMCS Chicoutimi.,0,mourning submariner span ocean halifax navy lieut chris saunders honoured joyful father fearless sailor yesterday mourner side ocean following last week tragic fire hmcs chicoutimi
8,8,"Palestinian Girl Killed in Gaza Strip, Medics Say (Reuters) Reuters - Israeli troops shot dead a 7-year-old\Palestinian girl in a Gaza refugee camp on Friday, medics said,\after militants wounded four Israelis in a mortar attack on a\nearby Jewish settlement.",0,palestinian girl killed gaza strip medic say reuters israeli troop shot dead -year-old palestinian girl gaza refugee camp friday medic said militant wounded four israeli mortar attack nearby jewish settlement
9,9,"US Marine killed in Iraq #39;s western Anbar province One US Marine was killed in action Saturday in Iraq #39;s volatile western Anbar province, the military said. The Marine, who was assigned to the 1st Marine Expeditionary Force, was killed  #39; #39;while ",0,marine killed iraq western anbar province one marine killed action saturday iraq volatile western anbar province military said marine assigned marine expeditionary force killed
10,10,Musharraf to meet Singh at the UN The leaders of India and Pakistan head to the US this week for talks with each other and with President Bush.,0,musharraf meet singh un leader india pakistan head week talk president bush
11,11,"Cambodia Women's Shelter Closes After Raid (AP) AP - A shelter for women and girls forced into the sex trade temporarily shut its doors Friday after gunmen kidnapped 92 of its occupants and made death threats against the staff, the shelter's director said.",0,cambodia woman shelter close raid ap shelter woman girl forced sex trade temporarily shut door friday gunman kidnapped occupant made death threat staff shelter director said
12,12,"Martin says Canada ready to help train election workers, monitor vote in Iraq (Canadian Press) Canadian Press - OTTAWA (CP) - The Canadian government is willing to smooth the way toward a national election in Iraq by helping to train officials there and monitor the voting process, say Prime Minister Paul Martin.",0,martin say canada ready help train election worker monitor vote iraq canadian press ottawa canadian government willing smooth way toward national election iraq helping train official monitor voting process say prime minister paul martin
13,13,"Is US Rhetoric Fuelling Iran #39;s Nuclear Program? As Iran announces it is resuming its nuclear program, we speak with Iranian-born author and former diplomat Mansour Farhang about the increasing tensions in the United States towards Tehran.",0,rhetoric fuelling iran nuclear program iran announces resuming nuclear program speak iranian-born author former diplomat mansour farhang increasing tension united state towards tehran
14,14,"Hong Kong Swears in New Legislature (AP) AP - New Hong Kong lawmakers were sworn in Wednesday, and one of their newest members  #151; a longtime activist  #151; shattered the solemnity by shouting pro-democracy slogans as he joined the system he has spent years protesting.",0,hong kong swears new legislature ap new hong kong lawmaker sworn wednesday one newest member longtime activist shattered solemnity shouting pro-democracy slogan joined system spent year protesting
15,15,Death Toll from Israel #39;s Gaza Offensive Rises to 100 Israeli air strikes killed five Palestinians in Gaza Thursday as the Palestinian death toll rose to 100 in a 16-day-old army offensive aimed at crushing militants behind rocket salvoes into Israel.,0,death toll israel gaza offensive rise israeli air strike killed five palestinian gaza thursday palestinian death toll rose -day-old army offensive aimed crushing militant behind rocket salvo israel
16,16,Focus on Aust as Russia adopts Kyoto protocol The major parties #39; different approaches to the Kyoto Protocol on greenhouse gas emissions became starker today after Russia made steps to ratify the agreement.,0,focus aust russia adopts kyoto protocol major party different approach kyoto protocol greenhouse gas emission became starker today russia made step ratify agreement
17,17,Djamshid says farewell and thank you to Canada on eve of long trip home (Canadian Press) Canadian Press - TORONTO (CP) - A 10-year-old Afghan boy whose struggle for life captured the hearts of Canadians bade a fond farewell to the country that rescued him Thursday as he prepared for a long journey home to a life of abject poverty.,0,djamshid say farewell thank canada eve long trip home canadian press toronto -year-old afghan boy whose struggle life captured heart canadian bade fond farewell country rescued thursday prepared long journey home life abject poverty
18,18,Quelling the fire Close your eyes. Imagine that Byrd Stadium is filled with people. Only these are not regular Terps fans. These are mainly men and boys uprooted from their villages - and they #39;re dead.,0,quelling fire close eye imagine byrd stadium filled people regular terps fan mainly men boy uprooted village dead
19,19,Brazilian Soldier Wounded in Haiti Unrest A Brazilian soldier with the UN peacekeeping force in Haiti was shot and wounded Saturday when peacekeepers and local police faced gunfire in a crackdown on armed gangs in the Haitian capital.,0,brazilian soldier wounded haiti unrest brazilian soldier un peacekeeping force haiti shot wounded saturday peacekeeper local police faced gunfire crackdown armed gang haitian capital
