index,text,label
0,"Zimbabwe annual inflation drops to 209 percent: report (AFP) AFP - Zimbabwe's annual rate of inflation last month dropped to 209 percent, edging closer to a year-end target of 150 percent from a peak of 622.8 percent in January, according to a newspaper report.",0
1,"More than 1,000 dead in Haiti (09/23/04)-- A mass grave in Haiti now holds more than 100 bodies -- and there may have to be many more such graves before the recovery from Tropical Storm Jeanne is complete.",0
2,Seven die in Japan  #39;suicide pact #39; Japanese police have found the bodies of seven young people - three women and four men - in a van in the Saitama mountains to the west of Tokyo.,0
3,"Security No. 1 for Afghan head President Hamid Karzai promised Thursday to assemble a representative government, but said he did not feel bound to offer top Cabinet positions to his defeated rivals.",0
4,"Palestinians say they hope Bush accepts dealing with Arafat in new &lt;b&gt;...&lt;/b&gt; An ailing Yasser Arafat congratulated President Bush on his re-election and expressed hope that a second term will spark new life to the Middle East peace process, an aide to the Palestinian leader said Wednesday.",0
5,France Seeks Return of Reporters in Iraq Amid Headscarf Threat The French government demanded the release of two journalists kidnapped in Iraq by a group demanding that France rescind a ban on Islamic headscarves in the nation #39;s schools within 48 hours.,0
6,"Ads Make Closing Arguments in Campaign (AP) AP - President Bush promises to do ""whatever it takes"" to keep the country safe. Democrat John Kerry says Bush has failed and calls for ""a fresh start.""",0
7,Mourning for submariner spans an ocean HALIFAX - Navy Lieut. Chris Saunders was honoured as a joyful father and a fearless sailor yesterday by mourners on both sides of the ocean following last week #39;s tragic fire on HMCS Chicoutimi.,0
8,"Palestinian Girl Killed in Gaza Strip, Medics Say (Reuters) Reuters - Israeli troops shot dead a 7-year-old\Palestinian girl in a Gaza refugee camp on Friday, medics said,\after militants wounded four Israelis in a mortar attack on a\nearby Jewish settlement.",0
9,"US Marine killed in Iraq #39;s western Anbar province One US Marine was killed in action Saturday in Iraq #39;s volatile western Anbar province, the military said. The Marine, who was assigned to the 1st Marine Expeditionary Force, was killed  #39; #39;while ",0
10,Musharraf to meet Singh at the UN The leaders of India and Pakistan head to the US this week for talks with each other and with President Bush.,0
11,"Cambodia Women's Shelter Closes After Raid (AP) AP - A shelter for women and girls forced into the sex trade temporarily shut its doors Friday after gunmen kidnapped 92 of its occupants and made death threats against the staff, the shelter's director said.",0
12,"Martin says Canada ready to help train election workers, monitor vote in Iraq (Canadian Press) Canadian Press - OTTAWA (CP) - The Canadian government is willing to smooth the way toward a national election in Iraq by helping to train officials there and monitor the voting process, say Prime Minister Paul Martin.",0
13,"Is US Rhetoric Fuelling Iran #39;s Nuclear Program? As Iran announces it is resuming its nuclear program, we speak with Iranian-born author and former diplomat Mansour Farhang about the increasing tensions in the United States towards Tehran.",0
14,"Hong Kong Swears in New Legislature (AP) AP - New Hong Kong lawmakers were sworn in Wednesday, and one of their newest members  #151; a longtime activist  #151; shattered the solemnity by shouting pro-democracy slogans as he joined the system he has spent years protesting.",0
15,Death Toll from Israel #39;s Gaza Offensive Rises to 100 Israeli air strikes killed five Palestinians in Gaza Thursday as the Palestinian death toll rose to 100 in a 16-day-old army offensive aimed at crushing militants behind rocket salvoes into Israel.,0
16,Focus on Aust as Russia adopts Kyoto protocol The major parties #39; different approaches to the Kyoto Protocol on greenhouse gas emissions became starker today after Russia made steps to ratify the agreement.,0
17,Djamshid says farewell and thank you to Canada on eve of long trip home (Canadian Press) Canadian Press - TORONTO (CP) - A 10-year-old Afghan boy whose struggle for life captured the hearts of Canadians bade a fond farewell to the country that rescued him Thursday as he prepared for a long journey home to a life of abject poverty.,0
18,Quelling the fire Close your eyes. Imagine that Byrd Stadium is filled with people. Only these are not regular Terps fans. These are mainly men and boys uprooted from their villages - and they #39;re dead.,0
19,Brazilian Soldier Wounded in Haiti Unrest A Brazilian soldier with the UN peacekeeping force in Haiti was shot and wounded Saturday when peacekeepers and local police faced gunfire in a crackdown on armed gangs in the Haitian capital.,0
20,Chile #39;s Pinochet facing human rights charges A judge in Chile is once again trying to bring former dictator Augusto Pinochet to trial for humans rights abuses during his 1973-90 regime.,0
21,"Bush to Highlight Tort Reform in Ill. (AP) AP - A little county with a reputation for big lawsuits  #151; some call it a ""judicial hellhole""  #151; is getting a visit from a man who wants to make it much tougher to sue somebody.",0
22,"Rebuffed by Party, Sharon Presses on with Gaza Plan  JERUSALEM (Reuters) - Israeli Prime Minister Ariel Sharon  vowed on Thursday to press ahead with his Gaza pullout plan  despite his own party's humiliating rebuff of his bid to forge  a coalition with the pro-withdrawal Labour Party.",0
23,Judge wants speed on Abu Ghraib evidence A military judge today warned the US government that the slowness of its investigations into alleged abuse at an Iraqi prison could derail the cases against the accused soldiers.,0
24,"Thai Prime Minister admits army made mistakes PATTANI - Thailand #39;s Government faced withering criticism after nearly 80 Muslims suffocated to death while in Army custody, with one newspaper blaming the tragedy on the Prime Minister #39;s  quot;flawed quot; leadership.",0
25,"Hurricane Frances Causes Damage in Bahamas Howling winds and severe flooding brought by Hurricane Frances pounded the Bahamas for two days, leaving at least two people dead, homes destroyed and yards littered with mangled trees.",0
26,"Italian premier tells EU immigration control top priority Italian Prime Minister Silvio Berlusconi said Thursday that the problem of immigration was one of three priority issues facing his government, the day after it resumed mass deportations of illegal immigrants.",0
27,"Bush defends action against Iraq President Bush backs his policy on Iraq, despite confirmation that Saddam Hussein did not have WMD.",0
28,"Blast in Gaza House Kills at Least Two (AP) AP - An explosion in a house in Gaza City early Wednesday killed at least two people, Palestinian witnesses said. It was not immediately known what caused the blast.",0
29,"PM says his Chinese visit to strengthen close ties ISLAMABAD, Dec 14 (NNI): Prime Minister Mr. Shaukat Aziz Tuesday said his visit will China will go a long way to strengthen existing close ties between the two countries in all fields.",0
30,"Blair outlines Sudan demands Tony Blair today said the Sudanese government had agreed to a five-point action plan aimed at ending the conflict in Darfur, which has resulted in what the UN describes as the world #39;s worst humanitarian crisis.",0
31,Iranian MP welcomes Allawi visit to Tehran Iranian Majlis deputy and member of foreign policy and national security commission Elham Aminzadeh said Monday the forthcoming trip of Iraqi Prime Minister Iyad Allawi to Iran ushers in a new chapter in bilateral relations.,0
32,Rwanda snubs UN forces in DR Congo Rwanda tells the UN Security Council its plans to disarm rebels across the border in DR Congo will not work.,0
33,Arbitration Court Rules That Hamm Is Gold Medal Winner in Gymnastics The courts decision marked the official end of a controversy that had simmered since Paul Hamm captured the gold after a close finish.,0
34,"Hostage Takers Widen Demands Beyond Iraqi Affairs BAGHDAD, Aug 29 (AFP) - For the first time since the kidnappings of foreigners started in Iraq in April, hostage takers have set conditions external to the country by demanding that France lift a ban on Islamic headscarves in state schools.",0
35,"US: Sudan attacks racially based While not directly calling the crisis in Darfur a genocide, the US State Department has said that interviews with Sudanese refugees indicated attacks against the regions #39; black Africans appeared to be racially motivated.",0
36,Bush lifts Libya trade sanctions The US lifts a trade embargo to reward Libya for its decision to give up weapons of mass destruction.,0
37,"Republicans, Democrats Swap Louisiana House Seats (Reuters) Reuters - The 2004 U.S. elections ended on\Saturday with Republicans and Democrats swapping one U.S. House\of Representatives seat each in runoff elections in Louisiana.",0
38,Elton sells off photo collection Sir Elton John is to sell off part of his extensive photographic collection at an auction in New York.,0
39,"CLIFFORD D. MAY: Shouldn #39;t Palestinians have a real election? (SH) - In Afghanistan, Hamid Karzai defeated a raft of candidates to win his historic election. In Iraq, more than 200 political parties have registered for next month #39;s elections.",0
40,Barrichello takes Monza win Rubens Barrichello leads home Michael Schumacher to seal a Ferrari one-two at the Italian Grand Prix.,0
41,More Aftershocks as Japan Aids Quake Victims Japan resumed rescue efforts at first light on Monday as aftershocks rattled the area where the country #39;s deadliest earthquake in nine years killed at least 23 ,0
42,"Walk the reforms road, UN tells Myanmar YANGON, Oct. 20. - A change in Myanmars political leadership brought fresh calls today for the military-ruled south-east Asian country to carry on with promises to restore democracy.",0
43,"Israeli forces kill two Palestinians in Gaza gunfight JERUSALEM - Israeli forces shot dead two Palestinian gunmen Wednesday during a firefight in the northern Gaza Strip, Israeli military sources said.",0
44,Four held as raid uncovers  #39;plot to buy dirty bomb #39; Four men have been arrested on suspicion of terrorist offences as part of a planned operation by the Metropolitan Police. The men are suspected of attempting to buy radioactive material for ,0
45,"Putin: Iraq Still Too Dangerous for Russian Firms Iraq is still too dangerous for Russian companies to work there, President Vladimir Putin was quoted as saying on Friday.  quot;Our companies are ready to return to Iraq as soon as the necessary ",0
46,Senior officers threaten to quit Israeli army in settlements rift Senior military officers have threatened to leave the Israeli army in protest at Ariel Sharon #39;s proposals for disengagement from Gaza.,0
47,Ex-OAS Chief Ordered Held in Costa Rica (AP) AP - A Costa Rican appeals court judge ordered the former head of the Organization of American States jailed Friday while prosecutors prepare corruption charges against him for allegedly accepting kickbacks when he was the nation's president.,0
48,Armed Group Claims to Have Iraq Explosives (AP) AP - An armed group claimed in a video Thursday to have obtained a large amount of explosives missing from a munitions depot facility in Iraq and threatened to use them against foreign troops.,0
49,After the  #39;Road Map #39; What Ariel Sharon has been indicating for months is now stated Israeli policy: The US-drawn  quot;road map quot; to a Palestinian state is locked in the glove compartment - along with other failed peace plans.,0
50,"A Mild Shanghai Lawyer and His Accidental Crusade The personal history of Guo Guoting is of the hard-knock variety commonplace in China, where one old rule endures: you can't fight City Hall.",0
51,"Final Touches Set on Africa Great Lakes Peace Plan (Reuters) Reuters - African leaders put final touches\on a new, U.N.-backed peace plan for the troubled Great Lakes\countries on Saturday amid fresh allegations of gun-running,\abuse and violence in the vast, volatile region.",0
52,"U.S. Rules Out Iraq Women Prisoner Release BAGHDAD, Iraq - Authorities insisted they won't give in to militants' demands to free female Iraqi prisoners despite the plea of a tearful British hostage begging Britain to save his life in a video released by his captors.    The captive, Kenneth Bigley, appealed to British Prime Minister Tony Blair to intervene...",0
